gene,pathway
MAPK3,path:ptr04062
MAPK3,path:ptr04066
MAPK3,path:ptr04068
MAPK3,path:ptr04071
MAPK3,path:ptr04072
MAPK3,path:ptr04114
MAPK3,path:ptr04140
MAPK3,path:ptr04148
MAPK3,path:ptr04150
MAPK3,path:ptr04151
MAPK3,path:ptr04210
MAPK3,path:ptr04218
MAPK3,path:ptr04261
MAPK3,path:ptr04270
MAPK3,path:ptr04350
MAPK3,path:ptr04360
MAPK3,path:ptr04370
MAPK3,path:ptr04371
MAPK3,path:ptr04380
MAPK3,path:ptr04510
MAPK3,path:ptr04517
MAPK3,path:ptr04519
MAPK3,path:ptr04520
MAPK3,path:ptr04540
MAPK3,path:ptr04550
MAPK3,path:ptr04611
MAPK3,path:ptr04613
MAPK3,path:ptr04620
MAPK3,path:ptr04621
MAPK3,path:ptr04625
MAPK3,path:ptr04650
MAPK3,path:ptr04657
MAPK3,path:ptr04658
MAPK3,path:ptr04659
MAPK3,path:ptr04660
MAPK3,path:ptr04662
MAPK3,path:ptr04664
MAPK3,path:ptr04666
MAPK3,path:ptr04668
MAPK3,path:ptr04713
MAPK3,path:ptr04720
MAPK3,path:ptr04722
MAPK3,path:ptr04723
MAPK3,path:ptr04724
MAPK3,path:ptr04725
MAPK3,path:ptr04726
MAPK3,path:ptr04730
MAPK3,path:ptr04810
MAPK3,path:ptr04910
MAPK3,path:ptr04912
MAPK3,path:ptr04914
MAPK3,path:ptr04915
MAPK3,path:ptr04916
MAPK3,path:ptr04917
MAPK3,path:ptr04919
MAPK3,path:ptr04921
MAPK3,path:ptr04926
MAPK3,path:ptr04928
MAPK3,path:ptr04929
MAPK3,path:ptr04930
MAPK3,path:ptr04933
MAPK3,path:ptr04934
MAPK3,path:ptr04935
MAPK3,path:ptr04960
MAPK3,path:ptr05010
MAPK3,path:ptr05020
MAPK3,path:ptr05022
MAPK3,path:ptr05034
MAPK3,path:ptr05132
MAPK3,path:ptr05133
MAPK3,path:ptr05135
MAPK3,path:ptr05140
MAPK3,path:ptr05142
MAPK3,path:ptr05145
MAPK3,path:ptr05152
MAPK3,path:ptr05160
MAPK3,path:ptr05161
MAPK3,path:ptr05163
MAPK3,path:ptr05164
MAPK3,path:ptr05165
MAPK3,path:ptr05166
MAPK3,path:ptr05167
MAPK3,path:ptr05170
MAPK3,path:ptr05171
MAPK3,path:ptr05200
MAPK3,path:ptr05203
MAPK3,path:ptr05205
MAPK3,path:ptr05206
MAPK3,path:ptr05207
MAPK3,path:ptr05208
MAPK3,path:ptr05210
MAPK3,path:ptr05211
MAPK3,path:ptr05212
MAPK3,path:ptr05213
MAPK3,path:ptr05214
MAPK3,path:ptr05215
MAPK3,path:ptr05216
MAPK3,path:ptr05218
MAPK3,path:ptr05219
MAPK3,path:ptr05220
MAPK3,path:ptr05221
MAPK3,path:ptr05223
MAPK3,path:ptr05224
MAPK3,path:ptr05225
MAPK3,path:ptr05226
MAPK3,path:ptr05230
MAPK3,path:ptr05231
MAPK3,path:ptr05235
MAPK3,path:ptr05417
MDM2,path:ptr01522
MDM2,path:ptr01524
MDM2,path:ptr04068
MDM2,path:ptr04110
MDM2,path:ptr04115
MDM2,path:ptr04120
MDM2,path:ptr04144
MDM2,path:ptr04151
MDM2,path:ptr04218
MDM2,path:ptr04625
MDM2,path:ptr04919
MDM2,path:ptr05163
MDM2,path:ptr05165
MDM2,path:ptr05169
MDM2,path:ptr05200
MDM2,path:ptr05202
MDM2,path:ptr05203
MDM2,path:ptr05205
MDM2,path:ptr05206
MDM2,path:ptr05214
MDM2,path:ptr05215
MDM2,path:ptr05218
MDM2,path:ptr05219
MDM2,path:ptr05220
MTOR,path:hsa04142
NRAS,path:ptr01521
NRAS,path:ptr01522
NRAS,path:ptr04010
NRAS,path:ptr04012
NRAS,path:ptr04014
NRAS,path:ptr04015
NRAS,path:ptr04062
NRAS,path:ptr04068
NRAS,path:ptr04071
NRAS,path:ptr04072
NRAS,path:ptr04137
NRAS,path:ptr04140
NRAS,path:ptr04150
NRAS,path:ptr04151
NRAS,path:ptr04210
NRAS,path:ptr04211
NRAS,path:ptr04213
NRAS,path:ptr04218
NRAS,path:ptr04360
NRAS,path:ptr04370
NRAS,path:ptr04371
NRAS,path:ptr04519
NRAS,path:ptr04540
NRAS,path:ptr04550
NRAS,path:ptr04625
NRAS,path:ptr04650
NRAS,path:ptr04660
NRAS,path:ptr04662
NRAS,path:ptr04664
NRAS,path:ptr04714
NRAS,path:ptr04720
NRAS,path:ptr04722
NRAS,path:ptr04725
NRAS,path:ptr04726
NRAS,path:ptr04730
NRAS,path:ptr04810
NRAS,path:ptr04910
NRAS,path:ptr04912
NRAS,path:ptr04915
NRAS,path:ptr04916
NRAS,path:ptr04917
NRAS,path:ptr04919
NRAS,path:ptr04921
NRAS,path:ptr04926
NRAS,path:ptr04929
NRAS,path:ptr04933
NRAS,path:ptr04935
NRAS,path:ptr05010
NRAS,path:ptr05022
NRAS,path:ptr05034
NRAS,path:ptr05160
NRAS,path:ptr05161
NRAS,path:ptr05163
NRAS,path:ptr05165
NRAS,path:ptr05166
NRAS,path:ptr05167
NRAS,path:ptr05170
NRAS,path:ptr05200
NRAS,path:ptr05203
NRAS,path:ptr05205
NRAS,path:ptr05206
NRAS,path:ptr05207
NRAS,path:ptr05208
NRAS,path:ptr05210
NRAS,path:ptr05211
NRAS,path:ptr05213
NRAS,path:ptr05214
NRAS,path:ptr05215
NRAS,path:ptr05216
NRAS,path:ptr05218
NRAS,path:ptr05219
NRAS,path:ptr05220
NRAS,path:ptr05221
NRAS,path:ptr05223
NRAS,path:ptr05224
NRAS,path:ptr05225
NRAS,path:ptr05226
