gene,hotspot_freq_luad,n_luad_lines_hotspot,n_luad_lines_screened_hotspot,mean_expr_logTPM,std_expr_logTPM,n_luad_lines_expr,mean_copy_number,n_luad_lines_cn,mean_crispr_dependency,n_luad_lines_crispr_dependency,mean_crispr_effect,n_luad_lines_crispr_effect
NFX1,,,,4.1933,0.4824,83.0,0.9197,45.0,0.0315,53.0,0.0122,53.0
NFXL1,,,,3.5312,0.5741,83.0,1.0167,45.0,0.0103,53.0,0.1366,53.0
NFYA,,,,4.0687,0.5259,83.0,1.0611,45.0,0.3866,53.0,-0.3776,53.0
NFYB,,,,5.1497,0.6528,83.0,1.087,45.0,0.7868,53.0,-0.758,53.0
NFYC,,,,5.1778,0.5799,83.0,1.1216,45.0,0.9316,53.0,-0.9781,53.0
NGB,,,,0.0602,0.3026,83.0,1.2428,45.0,0.025,53.0,0.0288,53.0
NGDN,,,,6.0148,0.5298,83.0,1.2201,45.0,0.4763,53.0,-0.4301,53.0
NGEF,,,,2.7705,1.6734,83.0,1.0295,45.0,0.018,53.0,0.0518,53.0
NGF,,,,1.299,1.3573,83.0,1.1016,45.0,0.1152,53.0,-0.1498,53.0
NGFR,,,,0.3409,0.5431,83.0,1.1694,45.0,0.1914,53.0,-0.2429,53.0
NGLY1,,,,4.3795,0.5221,83.0,0.9171,45.0,0.1767,53.0,-0.1941,53.0
NGRN,,,,6.4901,0.5422,83.0,1.1545,45.0,0.1905,53.0,-0.2297,53.0
NHEJ1,,,,3.6146,0.5588,83.0,1.0702,45.0,0.1136,53.0,-0.1324,53.0
NHERF1,,,,5.2873,1.0068,83.0,1.161,45.0,0.0611,53.0,-0.0808,53.0
NHERF2,,,,4.978,1.4768,83.0,0.9986,45.0,0.0351,53.0,-0.0096,53.0
NHERF4,,,,0.2583,0.6206,83.0,1.0703,45.0,0.0768,53.0,-0.0841,53.0
NHLH1,,,,0.273,0.1775,83.0,1.2307,45.0,0.0154,53.0,0.1284,53.0
NHLH2,,,,0.0328,0.1835,83.0,1.0798,45.0,0.0265,53.0,0.0169,53.0
NHLRC1,,,,1.6231,0.8757,83.0,1.0806,45.0,0.0497,53.0,-0.0498,53.0
NHLRC2,,,,3.1571,0.4801,83.0,0.9892,45.0,0.6234,53.0,-0.6516,53.0
NHLRC3,,,,3.9469,0.7254,83.0,0.8655,45.0,0.0533,53.0,-0.0482,53.0
NHLRC4,,,,0.1923,0.334,83.0,0.9964,45.0,0.0192,53.0,0.1022,53.0
NHP2,,,,7.6072,0.5555,83.0,1.1675,45.0,0.784,53.0,-0.7386,53.0
NHS,,,,1.8394,0.9734,83.0,0.6967,45.0,0.0462,53.0,-0.0404,53.0
NHSL1,,,,1.819,0.7685,83.0,0.8973,45.0,0.0301,53.0,0.0093,53.0
NHSL2,,,,0.2623,0.2693,83.0,0.7168,45.0,0.228,2.0,-0.2921,2.0
NHSL3,,,,4.8556,1.061,83.0,0.9624,45.0,0.0451,53.0,-0.0318,53.0
NIBAN1,,,,2.4214,1.5557,83.0,1.1136,45.0,0.0495,53.0,-0.0732,53.0
NIBAN2,,,,6.4011,0.968,83.0,1.0364,45.0,0.0603,53.0,-0.0259,53.0
NIBAN3,,,,0.1762,0.1532,83.0,0.9106,45.0,0.0536,53.0,-0.0184,53.0
NICN1,,,,2.757,0.7109,83.0,0.8337,45.0,0.0269,53.0,0.025,53.0
NICOL1,,,,3.7294,1.5395,83.0,1.0779,45.0,0.0224,53.0,0.0515,53.0
NID1,,,,1.4954,1.8802,83.0,1.1164,45.0,0.0622,53.0,-0.0679,53.0
NID2,,,,1.5524,1.8396,83.0,1.2721,45.0,0.0201,53.0,0.0559,53.0
NIF3L1,,,,5.1162,0.4543,83.0,1.1124,45.0,0.0761,53.0,-0.08,53.0
NIFK,,,,6.1723,0.5597,83.0,1.0997,45.0,0.9962,53.0,-1.6724,53.0
NIM1K,,,,0.3931,0.6117,83.0,1.4278,45.0,0.0267,53.0,0.0072,53.0
NIN,,,,3.7406,0.5253,83.0,1.2819,45.0,0.0254,53.0,0.0393,53.0
NINJ1,,,,4.6332,1.0563,83.0,1.0309,45.0,0.0482,53.0,-0.0417,53.0
NINJ2,,,,1.2464,1.2273,83.0,1.061,45.0,0.0237,53.0,0.0594,53.0
NINL,,,,2.7218,1.1612,83.0,1.1139,45.0,0.023,53.0,0.125,53.0
NIP7,,,,5.7421,0.6144,83.0,1.208,45.0,0.9993,53.0,-2.14,53.0
