id,entry_id,label,type,name,link,graphics,component_entry_ids
entry_187,187,WNT16...,gene,hsa:51384 hsa:54361 hsa:7471 hsa:7472 hsa:7473 hsa:7474 hsa:7475 hsa:7476 hsa:7477 hsa:7478 hsa:7479 hsa:7480 hsa:7481 hsa:7482 hsa:7483 hsa:7484 hsa:80326 hsa:81029 hsa:89780,https://www.kegg.jp/dbget-bin/www_bget?hsa:51384+hsa:54361+hsa:7471+hsa:7472+hsa:7473+hsa:7474+hsa:7475+hsa:7476+hsa:7477+hsa:7478+hsa:7479+hsa:7480+hsa:7481+hsa:7482+hsa:7483+hsa:7484+hsa:80326+hsa:81029+hsa:89780,"{""name"": ""WNT16..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 67, ""y"": 349, ""width"": 46, ""height"": 17}",[]
entry_188,188,"FZD10, CD350, FZ-10, Fz10, FzE7, hFz10...",gene,hsa:11211 hsa:2535 hsa:7855 hsa:7976 hsa:8321 hsa:8322 hsa:8323 hsa:8324 hsa:8325 hsa:8326,https://www.kegg.jp/dbget-bin/www_bget?hsa:11211+hsa:2535+hsa:7855+hsa:7976+hsa:8321+hsa:8322+hsa:8323+hsa:8324+hsa:8325+hsa:8326,"{""name"": ""FZD10, CD350, FZ-10, Fz10, FzE7, hFz10..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 150, ""y"": 340, ""width"": 46, ""height"": 17}",[]
entry_190,190,PI3K-Akt signaling pathway,map,path:hsa04151,https://www.kegg.jp/dbget-bin/www_bget?hsa04151,"{""name"": ""PI3K-Akt signaling pathway"", ""type"": ""roundrectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#FFFFFF"", ""x"": 484, ""y"": 664, ""width"": 97, ""height"": 32}",[]
entry_191,191,"LRP6, ADCAD2, STHAG7...",gene,hsa:4040 hsa:4041,https://www.kegg.jp/dbget-bin/www_bget?hsa:4040+hsa:4041,"{""name"": ""LRP6, ADCAD2, STHAG7..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 150, ""y"": 357, ""width"": 46, ""height"": 17}",[]
entry_192,192,"DVL1, DRS2, DVL, DVL1L1, DVL1P1...",gene,hsa:1855 hsa:1856 hsa:1857,https://www.kegg.jp/dbget-bin/www_bget?hsa:1855+hsa:1856+hsa:1857,"{""name"": ""DVL1, DRS2, DVL, DVL1L1, DVL1P1..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 242, ""y"": 349, ""width"": 46, ""height"": 17}",[]
entry_196,196,Autophagy - animal,map,path:hsa04140,https://www.kegg.jp/dbget-bin/www_bget?hsa04140,"{""name"": ""Autophagy - animal"", ""type"": ""roundrectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#FFFFFF"", ""x"": 1245, ""y"": 405, ""width"": 90, ""height"": 29}",[]
entry_198,198,"CLIP1, CLIP, CLIP-170, CLIP170, CYLN1, RSN",gene,hsa:6249,https://www.kegg.jp/dbget-bin/www_bget?hsa:6249,"{""name"": ""CLIP1, CLIP, CLIP-170, CLIP170, CYLN1, RSN"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 936, ""y"": 293, ""width"": 46, ""height"": 17}",[]
entry_201,201,Glycerolipid metabolism,map,path:hsa00561,https://www.kegg.jp/dbget-bin/www_bget?hsa00561,"{""name"": ""Glycerolipid metabolism"", ""type"": ""roundrectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#FFFFFF"", ""x"": 1244, ""y"": 364, ""width"": 90, ""height"": 29}",[]
entry_204,204,"STK11, LKB1, PJS, hLKB1",gene,hsa:6794,https://www.kegg.jp/dbget-bin/www_bget?hsa:6794,"{""name"": ""STK11, LKB1, PJS, hLKB1"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 337, ""y"": 237, ""width"": 46, ""height"": 17}",[]
entry_206,206,"STRADB, ALS2CR2, CALS-21, ILPIP, ILPIPA, PAPK, PRO1038...",gene,hsa:55437 hsa:92335,https://www.kegg.jp/dbget-bin/www_bget?hsa:55437+hsa:92335,"{""name"": ""STRADB, ALS2CR2, CALS-21, ILPIP, ILPIPA, PAPK, PRO1038..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 291, ""y"": 237, ""width"": 46, ""height"": 17}",[]
entry_207,207,"CAB39, CGI-66, MO25...",gene,hsa:51719 hsa:81617,https://www.kegg.jp/dbget-bin/www_bget?hsa:51719+hsa:81617,"{""name"": ""CAB39, CGI-66, MO25..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 383, ""y"": 237, ""width"": 46, ""height"": 17}",[]
entry_209,209,"CASTOR2, GATSL1, GATSL2",gene,hsa:729438,https://www.kegg.jp/dbget-bin/www_bget?hsa:729438,"{""name"": ""CASTOR2, GATSL1, GATSL2"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 497, ""y"": 161, ""width"": 46, ""height"": 17}",[]
entry_210,210,"CASTOR1, GATSL3",gene,hsa:652968,https://www.kegg.jp/dbget-bin/www_bget?hsa:652968,"{""name"": ""CASTOR1, GATSL3"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 497, ""y"": 137, ""width"": 46, ""height"": 17}",[]
entry_215,215,C00062,compound,cpd:C00062,https://www.kegg.jp/dbget-bin/www_bget?C00062,"{""name"": ""C00062"", ""type"": ""circle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#FFFFFF"", ""x"": 449, ""y"": 137, ""width"": 8, ""height"": 8}",[]
entry_216,216,undefined,group,undefined,,"{""name"": null, ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#FFFFFF"", ""x"": 685, ""y"": 214, ""width"": 46, ""height"": 34}","[52, 53]"
entry_217,217,undefined,group,undefined,,"{""name"": null, ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#FFFFFF"", ""x"": 579, ""y"": 241, ""width"": 46, ""height"": 34}","[125, 126]"
entry_218,218,undefined,group,undefined,,"{""name"": null, ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#FFFFFF"", ""x"": 150, ""y"": 348, ""width"": 46, ""height"": 34}","[188, 191]"
entry_219,219,undefined,group,undefined,,"{""name"": null, ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#FFFFFF"", ""x"": 337, ""y"": 237, ""width"": 138, ""height"": 17}","[204, 206, 207]"
entry_220,220,undefined,group,undefined,,"{""name"": null, ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#FFFFFF"", ""x"": 486, ""y"": 382, ""width"": 46, ""height"": 34}","[32, 50]"
